X,Y,FID,Idaccident,Latitude,Longitude,Fecha,Hora,Cód_Regi,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa,Causa__CON,Calle_Uno,Calle_Dos,Intersecci,Número,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Lesionados,Graves,Menos_Grav,Leves
-7861569.34524602,-3959769.20914364,1,1567532,-33.484335,-70.621679,2023/10/23 00:00:00+00,1899/12/30 00:00:00+00,13,REGION METROPOLITANA,SANTIAGO,ATROPELLO,ATROPELLO,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,IMPRUDENCIA DEL CONDUCTOR,LIBER BERNARDO O'HIGGINS,RAMON CORVALAN MELGAREJO,LIBER BERNARDO O'HIGGINS - RAMON CORVALAN MELGAREJO,0,UNIDIRECCIONAL,ASFALTO,REGULAR,SECO,DESPEJADO,0,1,0,0,1
-7873319.56277721,-3963464.13617753,2,1568902,-33.512014,-70.727233,2023/10/23 00:00:00+00,1899/12/30 00:00:00+00,13,REGION METROPOLITANA,MAIPU,ATROPELLO,ATROPELLO,URBANA,TRAMO DE VIA RECTA,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,CAMINO A MELIPILLA,ESQUINA BLANCA,CAMINO A MELIPILLA - ESQUINA BLANCA,0,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,1,1,0,0
-7860354.62696249,-3974765.97004247,3,1566987,-33.596622,-70.610767,2023/10/23 00:00:00+00,1899/12/30 00:00:00+00,13,REGION METROPOLITANA,LA PINTANA,ATROPELLO,ATROPELLO,URBANA,CRUCE SIN SEÑALIZACION,PEATON CRUZA CALZADA FUERA PASO PEATONES,IMPRUDENCIA DEL PEATON,PRIMAVERA,CALLE SEIS,CALLE SEIS - PRIMAVERA,0,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7857749.08296098,-3972551.02946966,4,1566998,-33.580047,-70.587361,2023/10/24 00:00:00+00,1899/12/30 00:00:00+00,13,REGION METROPOLITANA,PUENTE ALTO,ATROPELLO,ATROPELLO,URBANA,TRAMO DE VIA RECTA,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,GABRIELA PONIENTE,COQUIMBO,COQUIMBO - GABRIELA PONIENTE,0,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0,0
-7865829.09688072,-3949760.16538501,5,1568688,-33.409312,-70.659945,2023/10/24 00:00:00+00,1899/12/30 00:00:00+00,13,REGION METROPOLITANA,INDEPENDENCIA,ATROPELLO,ATROPELLO,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL PEATON,IMPRUDENCIA DEL PEATON,INDEPENDENCIA,GRAL SAAVEDRA,GRAL SAAVEDRA - INDEPENDENCIA,0,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,1,1,0,0
-7873582.61073396,-3958951.06248525,6,1568970,-33.478205,-70.729596,2023/10/25 00:00:00+00,1899/12/30 00:00:00+00,13,REGION METROPOLITANA,MAIPU,ATROPELLO,ATROPELLO,URBANA,OTROS NO CONSIDERADOS,PEATON CRUZA CALZADA FORMA SORPRESIVA O DESCUIDADA,IMPRUDENCIA DEL PEATON,SIMON BOLIVAR,REYES CATOLICOS,REYES CATOLICOS - SIMON BOLIVAR,0,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,1,0,0
-7874782.52352522,-3963286.83172108,7,1569009,-33.510686,-70.740375,2023/10/25 00:00:00+00,1899/12/30 00:00:00+00,13,REGION METROPOLITANA,MAIPU,ATROPELLO,ATROPELLO,URBANA,OTROS NO CONSIDERADOS,PEATON CRUZA CALZADA FORMA SORPRESIVA O DESCUIDADA,IMPRUDENCIA DEL PEATON,ESQUINA BLANCA,FERROCARRIL,ESQUINA BLANCA - FERROCARRIL,0,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,1,0,0
-7872865.37925478,-3954411.86713873,8,1568796,-33.444187,-70.723153,2023/10/26 00:00:00+00,1899/12/30 00:00:00+00,13,REGION METROPOLITANA,LO PRADO,ATROPELLO,ATROPELLO,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,IMPRUDENCIA DEL CONDUCTOR,SAN PABLO,NEPTUNO,NEPTUNO - SAN PABLO,0,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,1
-7858914.59802958,-3956073.86153551,9,1567960,-33.456644,-70.597831,2023/10/26 00:00:00+00,1899/12/30 00:00:00+00,13,REGION METROPOLITANA,ÑUÑOA,ATROPELLO,ATROPELLO,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,DUBLE ALMEYDA,JOSE PEDRO ALESSANDRI,DUBLE ALMEYDA - JOSE PEDRO ALESSANDRI,0,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,1,0,0,1
-7858755.85643571,-3978338.70084394,10,1567734,-33.623351,-70.596405,2023/10/26 00:00:00+00,1899/12/30 00:00:00+00,13,REGION METROPOLITANA,PUENTE ALTO,ATROPELLO,ATROPELLO,URBANA,TRAMO DE VIA RECTA,PEATON CRUZA CALZADA FORMA SORPRESIVA O DESCUIDADA,IMPRUDENCIA DEL PEATON,VALLE CENTRAL, ,- VALLE CENTRAL,687,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,1
