X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,Año,Claseaccid,Cód_Regi,Cód_Comun,Cód_Zona,Zona,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7927858.71051978,-3985906.63480878,1,-71.2171665,-33.6799423,REGION METROPOLITANA,13501,MELIPILLA,VICU??ªA MACKENNA,JOSE MASSOUD,0,"VICU??ªA MACKENNA & JOSE MASSOUD, MELIPILLA",CHILE,2021,1,13,13501,1,URBANA,0,0,0,0,11,6
-7927731.14951528,-3988063.936756,2,-71.2160206,-33.6960673,REGION METROPOLITANA,13501,MELIPILLA,ORTUZAR,BENITEZ,0,"ORTUZAR & BENITEZ, MELIPILLA",CHILE,2021,1,13,13501,1,URBANA,0,0,0,0,8,5
-7890438.51897428,-3976677.6022359,3,-70.8810152,-33.6109247,REGION METROPOLITANA,13605,PENAFLOR,VICU??ªA MACKENNA,FRANCISCO BILBAO,0,"VICU??ªA MACKENNA & FRANCISCO BILBAO, PE??ªAFLOR",CHILE,2021,1,13,13605,1,URBANA,0,1,0,1,10,5
-7889409.70424037,-3933024.98940671,4,-70.8717732,-33.2837283,REGION METROPOLITANA,13302,LAMPA,BARROS LUCO,PEDRO AGUIRRE CERDA,0,"BARROS LUCO & PEDRO AGUIRRE CERDA, LAMPA",CHILE,2021,1,13,13302,1,URBANA,0,0,0,1,10,6
-7889064.11288121,-3992622.6271779,5,-70.8686687,-33.7301318,REGION METROPOLITANA,13603,ISLA DE MAIPO,LA HERRADURA,LAS PARCELAS,0,"LA HERRADURA & LAS PARCELAS, ISLA DE MAIPO",CHILE,2021,1,13,13603,1,URBANA,0,1,1,12,8,7
-7887820.0062521,-3976528.87257506,6,-70.8574927,-33.609812,REGION METROPOLITANA,13101,SANTIAGO,VICUNA MACKENNA,LIBER BERNARDO O'HIGGINS,0,"VICUNA MACKENNA & LIBER BERNARDO O'HIGGINS, SANTIAGO",CHILE,2021,1,13,13101,1,URBANA,0,0,2,1,18,11
-7887817.04515364,-3977450.16655292,7,-70.8574661,-33.6167043,REGION METROPOLITANA,13601,TALAGANTE,CALETERA AUTOPISTA EL SOL,CAMINO EL OLIVETO,0,"CALETERA AUTOPISTA EL SOL & CAMINO EL OLIVETO, TALAGANTE",CHILE,2021,1,13,13601,1,URBANA,0,0,1,2,7,5
-7887741.40355965,-3989678.47885237,8,-70.8567866,-33.7081334,REGION METROPOLITANA,13601,TALAGANTE,CAMINO LONQUEN,CAMINO CARAMPANGUE,0,"CAMINO LONQUEN & CAMINO CARAMPANGUE, TALAGANTE",CHILE,2021,1,13,13601,1,URBANA,0,1,0,1,5,5
-7887130.44879833,-3976340.00591544,9,-70.8512983,-33.608399,REGION METROPOLITANA,13605,PENAFLOR,AUTOPISTA EL SOL, ,30,"AUTOPISTA EL SOL 30, PE??ªAFLOR",CHILE,2021,1,13,13605,2,RURAL,0,0,0,0,5,5
-7886515.18597271,-3974807.69396766,10,-70.8457713,-33.5969342,REGION METROPOLITANA,13119,MAIPU,LOS PAJARITOS,LIBER BERNARDO O'HIGGINS,0,"LOS PAJARITOS & LIBER BERNARDO O'HIGGINS, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,0,0,4,10,7
-7885993.94358903,-3951017.60127553,11,-70.8410889,-33.4187407,REGION METROPOLITANA,13124,PUDAHUEL,CAMINO A NOVICIADO, ,30,"CAMINO A NOVICIADO 30, PUDAHUEL",CHILE,2021,1,13,13124,1,URBANA,0,0,1,6,7,5
-7884979.2552985,-3973036.78341313,12,-70.8319738,-33.5836823,REGION METROPOLITANA,13604,PADRE HURTADO,EL SOTILLO,CAMINO A MELIPILLA,0,"EL SOTILLO & CAMINO A MELIPILLA, PADRE HURTADO",CHILE,2021,1,13,13604,1,URBANA,0,2,2,17,14,11
-7883486.76148958,-3971409.55589135,13,-70.8185665,-33.5715038,REGION METROPOLITANA,13604,PADRE HURTADO,CAMINO SAN ALBERTO HURTADO,SAN IGNACIO,0,"CAMINO SAN ALBERTO HURTADO & SAN IGNACIO, PADRE HURTADO",CHILE,2021,1,13,13604,1,URBANA,0,2,0,3,13,9
-7882670.19962877,-3970669.15217637,14,-70.8112312,-33.5659619,REGION METROPOLITANA,13604,PADRE HURTADO,EL MANZANO,CAMINO SAN ALBERTO HURTADO,0,"EL MANZANO & CAMINO SAN ALBERTO HURTADO, PADRE HURTADO",CHILE,2021,1,13,13604,1,URBANA,0,1,1,7,16,11
-7882139.40603277,-3962189.15352065,15,-70.806463,-33.502464,REGION METROPOLITANA,13119,MAIPU,EL ROSAL, ,6361,"EL ROSAL 6361, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,0,0,1,5,5
-7881940.05508865,-3979142.60780686,16,-70.8046722,-33.6293642,REGION METROPOLITANA,13403,CALERA DE TANGO,SANTA INES,CAMINO A LONQUEN,0,"SANTA INES & CAMINO A LONQUEN, CALERA DE TANGO",CHILE,2021,1,13,13403,1,URBANA,0,0,0,4,6,5
-7881769.30212173,-3969838.08994871,17,-70.8031383,-33.559741,REGION METROPOLITANA,13604,PADRE HURTADO,CAMINO SAN ALBERTO HURTADO,EL TREBOL,0,"CAMINO SAN ALBERTO HURTADO & EL TREBOL, PADRE HURTADO",CHILE,2021,1,13,13604,1,URBANA,0,0,0,0,11,5
-7881356.64076935,-3962603.95472612,18,-70.7994313,-33.5055711,REGION METROPOLITANA,13119,MAIPU,AUTOPISTA EL SOL,ACCESO AMERICO VESPUCIO,0,"AUTOPISTA EL SOL & ACCESO AMERICO VESPUCIO, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,0,0,0,7,5
-7881298.18690474,-3965476.29197333,19,-70.7989062,-33.5270835,REGION METROPOLITANA,13119,MAIPU,AUTOPISTA EL SOL, ,15400,"AUTOPISTA EL SOL 15400, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,1,0,10,5,7
-7881294.13487528,-3978336.73578083,20,-70.7988698,-33.6233363,REGION METROPOLITANA,13403,CALERA DE TANGO,CALERA DE TANGO,CAMINO A LONQUEN,0,"CALERA DE TANGO & CAMINO A LONQUEN, CALERA DE TANGO",CHILE,2021,1,13,13403,1,URBANA,0,2,0,5,27,14
-7881272.18267169,-3969367.95291437,21,-70.7986726,-33.5562216,REGION METROPOLITANA,13605,PENAFLOR,CAMINO SAN ALBERTO HURTADO,PRIMERA AVENIDA,0,"CAMINO SAN ALBERTO HURTADO & PRIMERA AVENIDA, PE??ªAFLOR",CHILE,2021,1,13,13605,1,URBANA,0,0,0,8,10,8
-7881194.97147288,-3970434.57198853,22,-70.797979,-33.564206,REGION METROPOLITANA,13604,PADRE HURTADO,PRIMERA TRANVERSAL,EL TREBOL,0,"PRIMERA TRANVERSAL & EL TREBOL, PADRE HURTADO",CHILE,2021,1,13,13604,1,URBANA,0,0,0,3,7,5
-7881082.19369675,-3964531.82566962,23,-70.7969659,-33.5200105,REGION METROPOLITANA,13119,MAIPU,EL CONQUISTADOR,PORTALES,0,"EL CONQUISTADOR & PORTALES, MAIPU",CHILE,2021,1,13,13119,1,URBANA,1,0,0,0,5,5
-7880674.30795054,-3966148.90910402,24,-70.7933018,-33.5321203,REGION METROPOLITANA,13119,MAIPU,ALFREDO SILVA CARVALLO,4 PONIENTE,0,"ALFREDO SILVA CARVALLO & 4 PONIENTE, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,0,0,0,6,6
-7879961.87434141,-3965167.49253357,25,-70.7869019,-33.524771,REGION METROPOLITANA,13119,MAIPU,NVA SAN MARTIN,LAS NACIONES,0,"NVA SAN MARTIN & LAS NACIONES, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,0,0,3,6,5
-7879710.80436187,-3977678.19227108,26,-70.7846465,-33.6184101,REGION METROPOLITANA,13403,CALERA DE TANGO,CALERA DE TANGO,SAN JOSE,0,"CALERA DE TANGO & SAN JOSE, CALERA DE TANGO",CHILE,2021,1,13,13403,1,URBANA,0,2,0,0,7,5
-7879155.78764468,-3962234.55651219,27,-70.7796607,-33.5028041,REGION METROPOLITANA,13119,MAIPU,LIBER BERNARDO O'HIGGINS,3 PONIENTE,0,"LIBER BERNARDO O'HIGGINS & 3 PONIENTE, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,1,0,1,8,6
-7878793.47609799,-3954394.48408393,28,-70.776406,-33.4440567,REGION METROPOLITANA,13124,PUDAHUEL,AMERICO VESPUCIO, ,13000,"AMERICO VESPUCIO 13000, PUDAHUEL",CHILE,2021,1,13,13124,1,URBANA,0,1,1,7,14,10
-7878749.92791319,-3954934.90878706,29,-70.7760148,-33.4481075,REGION METROPOLITANA,13124,PUDAHUEL,AMERICO VESPUCIO,RUTA 68,0,"AMERICO VESPUCIO & RUTA 68, PUDAHUEL",CHILE,2021,1,13,13124,1,URBANA,0,0,0,3,8,6
-7878749.00396142,-3954395.60471732,30,-70.7760065,-33.4440651,REGION METROPOLITANA,13124,PUDAHUEL,SAN PABLO,AMERICO VESPUCIO,0,"SAN PABLO & AMERICO VESPUCIO, PUDAHUEL",CHILE,2021,1,13,13124,1,URBANA,0,0,0,3,19,11
-7878143.92686921,-3971929.359211,31,-70.770571,-33.5753943,REGION METROPOLITANA,13403,CALERA DE TANGO,CAMINO A LONQUEN,EL TANGUITO,0,"CAMINO A LONQUEN & EL TANGUITO, CALERA DE TANGO",CHILE,2021,1,13,13403,1,URBANA,0,0,0,3,9,5
-7878046.53344672,-3966689.30939646,32,-70.7696961,-33.5361668,REGION METROPOLITANA,13119,MAIPU,CAMINO A MELIPILLA,3 PONIENTE,0,"CAMINO A MELIPILLA & 3 PONIENTE, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,1,1,5,12,12
-7878036.28092162,-3947739.96819669,33,-70.769604,-33.3941617,REGION METROPOLITANA,13128,RENCA,AMERICO VESPUCIO,MIRAFLORES,0,"AMERICO VESPUCIO & MIRAFLORES, RENCA",CHILE,2021,1,13,13128,1,URBANA,0,0,0,4,14,11
-7877944.74290434,-3964239.47472246,34,-70.7687817,-33.517821,REGION METROPOLITANA,13119,MAIPU,PADRE HURTADO,PORTALES,0,"PADRE HURTADO & PORTALES, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,0,0,0,7,5
-7877421.71940879,-3954126.01546896,35,-70.7640833,-33.4420443,REGION METROPOLITANA,13124,PUDAHUEL,SAN PABLO,FEDERICO ERRAZURIZ,0,"SAN PABLO & FEDERICO ERRAZURIZ, PUDAHUEL",CHILE,2021,1,13,13124,1,URBANA,0,0,0,3,11,7
-7877412.37970352,-3962342.0238746,36,-70.7639994,-33.5036091,REGION METROPOLITANA,13119,MAIPU,SAN MARTIN,CHILE,0,"SAN MARTIN & CHILE, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,0,0,4,7,5
-7877074.50278506,-3957801.73773852,37,-70.7609642,-33.4695929,REGION METROPOLITANA,13119,MAIPU,AMERICO VESPUCIO,EL DESCANSO,0,"AMERICO VESPUCIO & EL DESCANSO, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,0,0,4,15,9
-7877011.7074603,-3946702.45096377,38,-70.7604001,-33.3863799,REGION METROPOLITANA,13124,PUDAHUEL,AMERICO VESPUCIO,CAMINO LO BOZA,0,"AMERICO VESPUCIO & CAMINO LO BOZA, PUDAHUEL",CHILE,2021,1,13,13124,1,URBANA,0,2,1,3,19,13
-7876977.09823062,-3927379.87008806,39,-70.7600892,-33.2413255,REGION METROPOLITANA,13302,LAMPA,CAMINO BATUCO, ,13,"CAMINO BATUCO 13, LAMPA",CHILE,2021,1,13,13302,2,RURAL,0,1,0,4,10,6
-7876956.14790245,-3963289.43530906,40,-70.759901,-33.5107055,REGION METROPOLITANA,13119,MAIPU,MANUEL RODRIGUEZ,5 DE ABRIL,0,"MANUEL RODRIGUEZ & 5 DE ABRIL, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,0,0,4,8,8
-7876681.89007298,-3963263.49407366,41,-70.7574373,-33.5105112,REGION METROPOLITANA,13119,MAIPU,5 DE ABRIL,LOS PAJARITOS,0,"5 DE ABRIL & LOS PAJARITOS, MAIPU",CHILE,2021,1,13,13119,1,URBANA,0,0,0,8,24,19
