FID,Año,Región,Comuna,Calle_Uno,Calle_Dos,Número,Claseaccid,Cód_Regi,Cód_Zona,Zona,Intersecci,Ruta,Ubicaci_1,Siniestros,Fallecidos,Menos_grav,Leves,Ilesos,Graves
1,2022,REGION METROPOLITANA,BUIN,JOSE MANUEL BALMACEDA,ANIBAL PINTO,0,1,13,1,URBANA,ANIBAL PINTO - JOSE MANUEL BALMACEDA, , ,6,0,1,2,9,0
2,2022,REGION METROPOLITANA,BUIN,JOSE MANUEL BALMACEDA,BERNARDO O'HIGGINS,0,1,13,1,URBANA,BERNARDO O'HIGGINS - JOSE MANUEL BALMACEDA, , ,6,0,2,3,7,0
3,2022,REGION METROPOLITANA,CALERA DE TANGO,CALERA DE TANGO, ,8,1,13,1,URBANA,- CALERA DE TANGO, , ,5,0,0,6,9,0
4,2022,REGION METROPOLITANA,CALERA DE TANGO,CALERA DE TANGO,CAMINO A LONQUEN,0,1,13,1,URBANA,CALERA DE TANGO - CAMINO A LONQUEN, , ,15,0,0,8,24,1
5,2022,REGION METROPOLITANA,CALERA DE TANGO,CAMINO A LONQUEN, ,13,1,13,1,URBANA,- CAMINO A LONQUEN, , ,5,0,0,2,8,0
6,2022,REGION METROPOLITANA,CALERA DE TANGO,CAMINO A LONQUEN,EL COPIHUE,0,1,13,1,URBANA,CAMINO A LONQUEN - EL COPIHUE, , ,6,0,0,3,10,0
7,2022,REGION METROPOLITANA,CALERA DE TANGO,CAMINO A LONQUEN,EL TREBOL,0,1,13,1,URBANA,CAMINO A LONQUEN - EL TREBOL, , ,5,0,0,2,14,0
8,2022,REGION METROPOLITANA,CERRILLOS,ALC CARLOS VALDOVINOS,AVDA 1,0,1,13,1,URBANA,ALC CARLOS VALDOVINOS - AVDA 1, , ,6,0,0,1,11,1
9,2022,REGION METROPOLITANA,CERRILLOS,AMERICO VESPUCIO, ,1501,1,13,1,URBANA,- AMERICO VESPUCIO, , ,21,0,1,0,42,2
10,2022,REGION METROPOLITANA,CERRILLOS,AMERICO VESPUCIO, ,2500,1,13,1,URBANA,- AMERICO VESPUCIO, , ,6,0,0,1,10,0
11,2022,REGION METROPOLITANA,CERRILLOS,AMERICO VESPUCIO,AEROPUERTO,0,1,13,1,URBANA,AEROPUERTO - AMERICO VESPUCIO, , ,6,0,0,0,12,0
12,2022,REGION METROPOLITANA,CERRILLOS,AMERICO VESPUCIO,CAMINO A LONQUEN,0,1,13,1,URBANA,AMERICO VESPUCIO - CAMINO A LONQUEN, , ,18,0,2,5,28,2
13,2022,REGION METROPOLITANA,CERRILLOS,AMERICO VESPUCIO,CAMINO A MELIPILLA,0,1,13,1,URBANA,AMERICO VESPUCIO - CAMINO A MELIPILLA, , ,8,0,0,3,15,0
14,2022,REGION METROPOLITANA,CERRILLOS,AMERICO VESPUCIO,GRAL VELASQUEZ,0,1,13,1,URBANA,AMERICO VESPUCIO - GRAL VELASQUEZ, , ,7,0,0,1,13,2
15,2022,REGION METROPOLITANA,CERRILLOS,CAMINO A LONQUEN,AMERICO VESPUCIO,0,1,13,1,URBANA,AMERICO VESPUCIO - CAMINO A LONQUEN, , ,10,0,0,7,17,5
16,2022,REGION METROPOLITANA,CERRILLOS,CAMINO A MELIPILLA,AMERICO VESPUCIO,0,1,13,1,URBANA,AMERICO VESPUCIO - CAMINO A MELIPILLA, , ,10,0,0,2,17,0
17,2022,REGION METROPOLITANA,CERRILLOS,LO ERRAZURIZ,CERRILLOS,0,1,13,1,URBANA,CERRILLOS - LO ERRAZURIZ, , ,5,0,0,3,6,0
18,2022,REGION METROPOLITANA,CERRILLOS,LO ERRAZURIZ,PDTE SALVADOR ALLENDE,0,1,13,1,URBANA,LO ERRAZURIZ - PDTE SALVADOR ALLENDE, , ,6,0,0,0,10,0
19,2022,REGION METROPOLITANA,CERRILLOS,PEDRO AGUIRRE CERDA,ALC CARLOS VALDOVINOS,0,1,13,1,URBANA,ALC CARLOS VALDOVINOS - PEDRO AGUIRRE CERDA, , ,5,0,0,5,11,1
20,2022,REGION METROPOLITANA,CERRILLOS,PEDRO AGUIRRE CERDA,DEPARTAMENTAL,0,1,13,1,URBANA,DEPARTAMENTAL - PEDRO AGUIRRE CERDA, , ,12,0,0,2,23,0
21,2022,REGION METROPOLITANA,CERRILLOS,PEDRO AGUIRRE CERDA,EL MIRADOR,0,1,13,1,URBANA,EL MIRADOR - PEDRO AGUIRRE CERDA, , ,5,0,1,6,7,1
22,2022,REGION METROPOLITANA,CERRILLOS,PEDRO AGUIRRE CERDA,LAS AMERICAS,0,1,13,1,URBANA,LAS AMERICAS - PEDRO AGUIRRE CERDA, , ,6,0,0,2,10,1
23,2022,REGION METROPOLITANA,CERRILLOS,PEDRO AGUIRRE CERDA,LO ERRAZURIZ,0,1,13,1,URBANA,LO ERRAZURIZ - PEDRO AGUIRRE CERDA, , ,8,0,0,2,12,3
24,2022,REGION METROPOLITANA,COLINA,CHICUREO, ,2000,1,13,1,URBANA,- CHICUREO, , ,5,0,0,1,9,0
25,2022,REGION METROPOLITANA,CONCHALI,AMERICO VESPUCIO,GRAL GAMBINO,0,1,13,1,URBANA,AMERICO VESPUCIO - GRAL GAMBINO, , ,7,0,0,1,8,0
26,2022,REGION METROPOLITANA,CONCHALI,DORSAL,INDEPENDENCIA,0,1,13,1,URBANA,DORSAL - INDEPENDENCIA, , ,5,0,0,3,5,0
27,2022,REGION METROPOLITANA,CONCHALI,INDEPENDENCIA,DORSAL,0,1,13,1,URBANA,DORSAL - INDEPENDENCIA, , ,5,0,0,3,4,0
